CDC	CHEFLIEU	REG	DEP	COM	AR	CT	TNCC	ARTMAJ	NCC	ARTMIN	NCCENR
	4	11	751	056	1		0		75001		75001
	4	11	752	056	1		0		75002		75002
	4	11	753	056	1		0		75003		75003
	4	11	754	056	1		0		75004		75004
	4	11	755	056	1		0		75005		75005
	4	11	756	056	1		0		75006		75006
	4	11	757	056	1		0		75007		75007
	4	11	758	056	1		0		75008		75008
	4	11	759	056	1		0		75009		75009
	4	11	75A	056	1		0		75010		75010
	4	11	75B	056	1		0		75011		75011
	4	11	75C	056	1		0		75012		75012
	4	11	75D	056	1		0		75013		75013
	4	11	75E	056	1		0		75014		75014
	4	11	75F	056	1		0		75015		75015
	4	11	75G	056	1		0		75016		75016
	4	11	75H	056	1		0		75017		75017
	4	11	75I	056	1		0		75018		75018
	4	11	75J	056	1		0		75019		75019
	4	11	75K	056	1		0		75020		75020
1	4	94	2A	004	1	98	1		AJACCIO		Ajaccio
1	4	22	80	021	2	99	1		AMIENS		Amiens
1	4	43	25	056	1	99	0		BESANCON		Besançon
1	4	72	33	063	2	97	0		BORDEAUX		Bordeaux
1	4	25	14	118	2	99	0		CAEN		Caen
	4	03	973	02	1		0		CAYENNE		Cayenne
1	4	21	51	108	1	97	0		CHALONS-EN-CHAMPAGNE		Châlons-en-Champagne
1	4	83	63	113	2	99	0		CLERMONT-FERRAND		Clermont-Ferrand
1	4	26	21	231	2	99	0		DIJON		Dijon
	4	02	972	09	1		0		FORT-DE-FRANCE		Fort-de-France
1	4	31	59	350	5	97	0		LILLE		Lille
1	4	74	87	085	2	99	0		LIMOGES		Limoges
	4	82	69	123	1		0		LYON		Lyon
1	4	93	13	055	3	98	0		MARSEILLE		Marseille
1	4	41	57	463	9	98	0		METZ		Metz
1	4	91	34	172	3	99	0		MONTPELLIER		Montpellier
1	4	52	44	109	2	96	0		NANTES		Nantes
1	4	24	45	234	2	99	1		ORLEANS		Orléans
1	4	54	86	194	3	99	0		POITIERS		Poitiers
1	4	53	35	238	3	98	0		RENNES		Rennes
1	4	23	76	540	3	97	0		ROUEN		Rouen
1	4	04	974	11	1	93	0		SAINT-DENIS		Saint-Denis
1	4	42	67	482	8	99	0		STRASBOURG		Strasbourg
1	4	73	31	555	3	99	0		TOULOUSE		Toulouse
1	3	72	47	001	1	97	1		AGEN		Agen
1	3	73	81	004	1	96	1		ALBI		Albi
1	3	25	61	001	1	97	1		ALENCON		Alençon
1	3	52	49	007	1	98	1		ANGERS		Angers
1	3	54	16	015	1	98	1		ANGOULEME		Angoulême
1	3	82	74	010	1	99	1		ANNECY		Annecy
1	3	31	62	041	1	96	1		ARRAS		Arras
1	3	73	32	013	1	99	1		AUCH		Auch
1	3	83	15	014	1	98	1		AURILLAC		Aurillac
1	3	26	89	024	1	98	1		AUXERRE		Auxerre
1	3	93	84	007	2	99	1		AVIGNON		Avignon
1	3	41	55	029	1	98	0		BAR-LE-DUC		Bar-le-Duc
1	3	94	2B	033	2	99	0		BASTIA		Bastia
1	3	22	60	057	1	98	0		BEAUVAIS		Beauvais
1	3	43	90	010	1	99	0		BELFORT		Belfort
1	3	24	41	018	1	99	0		BLOIS		Blois
1	3	11	93	008	1	95	0		BOBIGNY		Bobigny
1	3	82	01	053	2	99	0		BOURG-EN-BRESSE		Bourg-en-Bresse
1	3	24	18	033	1	98	0		BOURGES		Bourges
1	3	73	46	042	1	98	0		CAHORS		Cahors
1	3	91	11	069	1	98	0		CARCASSONNE		Carcassonne
1	3	82	73	065	2	99	0		CHAMBERY		Chambéry
1	3	21	08	105	1	98	0		CHARLEVILLE-MEZIERES		Charleville-Mézières
1	3	24	28	085	1	98	0		CHARTRES		Chartres
1	3	24	36	044	2	99	0		CHATEAUROUX		Châteauroux
1	3	21	52	121	1	98	0		CHAUMONT		Chaumont
1	3	42	68	066	2	98	0		COLMAR		Colmar
1	3	11	94	028	1	94	0		CRETEIL		Créteil
1	3	93	04	070	3	98	0		DIGNE-LES-BAINS		Digne-les-Bains
1	3	41	88	160	1	98	1		EPINAL		Épinal
1	3	23	27	229	3	99	1		EVREUX		Évreux
1	3	93	05	061	2	99	0		GAP		Gap
1	3	82	38	185	1	98	0		GRENOBLE		Grenoble
1	3	74	23	096	2	99	0		GUERET		Guéret
1	3	22	02	408	2	97	0		LAON		Laon
1	3	52	53	130	2	99	0		LAVAL		Laval
1	3	43	39	300	2	99	0		LONS-LE-SAUNIER		Lons-le-Saunier
1	3	26	71	270	5	99	0		MACON		Mâcon
1	3	52	72	181	3	99	2	(LE)	MANS	(Le)	Mans
1	3	91	48	095	2	99	0		MENDE		Mende
1	3	73	82	121	2	99	0		MONTAUBAN		Montauban
1	3	72	40	192	2	99	0		MONT-DE-MARSAN		Mont-de-Marsan
1	3	83	03	190	2	98	0		MOULINS		Moulins
1	3	41	54	395	3	99	0		NANCY		Nancy
1	3	11	92	050	2	99	0		NANTERRE		Nanterre
1	3	26	58	194	3	99	0		NEVERS		Nevers
1	3	93	06	088	2	99	0		NICE		Nice
1	3	91	30	189	2	99	0		NIMES		Nîmes
1	3	54	79	191	2	99	0		NIORT		Niort
1	3	72	64	445	3	99	0		PAU		Pau
1	3	72	24	322	3	99	0		PERIGUEUX		Périgueux
1	3	91	66	136	2	99	0		PERPIGNAN		Perpignan
1	3	83	43	157	2	99	2	(LE)	PUY-EN-VELAY	(Le)	Puy-en-Velay
1	3	53	29	232	4	99	0		QUIMPER		Quimper
1	3	54	17	300	3	99	3	(LA)	ROCHELLE	(La)	Rochelle
1	3	52	85	191	2	99	3	(LA)	ROCHE-SUR-YON	(La)	Roche-sur-Yon
1	3	73	12	202	2	99	0		RODEZ		Rodez
1	3	53	22	278	4	99	0		SAINT-BRIEUC		Saint-Brieuc
1	3	82	42	218	3	99	0		SAINT-ETIENNE		Saint-Étienne
1	3	25	50	502	4	99	0		SAINT-LO		Saint-Lô
1	3	73	65	440	3	99	0		TARBES		Tarbes
1	3	93	83	137	2	99	0		TOULON		Toulon
1	3	24	37	261	2	99	0		TOURS		Tours
1	3	21	10	387	3	99	0		TROYES		Troyes
1	3	82	26	362	3	99	0		VALENCE		Valence
1	3	53	56	260	3	99	0		VANNES		Vannes
1	3	11	78	646	4	99	0		VERSAILLES		Versailles
1	3	43	70	550	2	99	0		VESOUL		Vesoul
1	2	22	80	001	1	98	1		ABBEVILLE		Abbeville
1	2	93	13	001	1	97	1		AIX-EN-PROVENCE		Aix-en-Provence
1	2	82	73	011	1	98	1		ALBERTVILLE		Albertville
1	2	91	30	007	1	98	1		ALES		Alès
1	2	25	61	006	2	98	1		ARGENTAN		Argentan
1	2	11	95	018	1	98	1		ARGENTEUIL		Argenteuil
1	2	26	71	014	1	96	1		AUTUN		Autun
1	2	72	64	102	1	97	0		BAYONNE		Bayonne
1	2	72	24	037	1	98	0		BERGERAC		Bergerac
1	2	91	34	032	1	98	0		BEZIERS		Béziers
1	2	11	92	012	3	96	0		BOULOGNE-BILLANCOURT		Boulogne-Billancourt
1	2	31	62	160	3	97	0		BOULOGNE-SUR-MER		Boulogne-sur-Mer
1	2	53	29	019	1	98	0		BREST		Brest
1	2	93	05	023	1	98	0		BRIANCON		Briançon
1	2	74	19	031	1	99	0		BRIVE-LA-GAILLARDE		Brive-la-Gaillarde
1	2	31	62	193	6	98	0		CALAIS		Calais
1	2	73	81	065	2	98	0		CASTRES		Castres
1	2	26	71	076	2	97	0		CHALON-SUR-SAONE		Chalon-sur-Saône
1	2	54	86	066	1	98	0		CHATELLERAULT		Châtellerault
1	2	25	50	129	2	98	0		CHERBOURG-OCTEVILLE		Cherbourg-Octeville
1	2	52	49	099	2	99	0		CHOLET		Cholet
1	2	54	16	102	2	99	0		COGNAC		Cognac
1	2	22	60	159	3	99	0		COMPIEGNE		Compiègne
1	2	72	40	088	1	98	0		DAX		Dax
1	2	23	76	217	1	95	0		DIEPPE		Dieppe
1	2	43	39	198	1	98	0		DOLE		Dole
1	2	24	28	134	3	99	0		DREUX		Dreux
1	2	31	59	183	4	96	0		DUNKERQUE		Dunkerque
1	2	21	51	230	2	98	1		EPERNAY		Épernay
1	2	73	46	102	2	99	0		FIGEAC		Figeac
1	2	53	35	115	1	97	0		FOUGERES		Fougères
1	2	93	06	069	1	98	0		GRASSE		Grasse
1	2	23	76	351	2	96	2	(LE)	HAVRE	(Le)	Havre
1	2	53	56	121	1	98	0		LORIENT		Lorient
1	2	41	54	329	2	98	0		LUNEVILLE		Lunéville
1	2	43	70	310	1	98	0		LURE		Lure
	2	02	972	17	3		2	(LE)	MARIN	(Le)	Marin
1	2	72	47	157	2	98	0		MARMANDE		Marmande
1	2	73	12	145	1	98	0		MILLAU		Millau
1	2	83	03	185	1	97	0		MONTLUCON		Montluçon
1	2	42	68	224	4	99	0		MULHOUSE		Mulhouse
1	2	91	11	262	3	99	0		NARBONNE		Narbonne
1	2	11	94	052	2	95	0		NOGENT-SUR-MARNE		Nogent-sur-Marne
1	2	72	64	422	2	98	1		OLORON-SAINTE-MARIE		Oloron-Sainte-Marie
1	2	73	09	225	2	99	0		PAMIERS		Pamiers
